type,path,old_name,new_name
dataset,config,config,config
group,meta,meta,meta
dataset,meta/SlurmID,SlurmID,slurm_id
dataset,meta/axonStumpIDFlag,axonStumpIDFlag,axon_stump_id_flag
dataset,meta/config,config,config
dataset,meta/configFile,configFile,config_file
dataset,meta/connectivityDistributions,connectivityDistributions,connectivity_distributions
dataset,meta/hyperVoxelIDs,hyperVoxelIDs,hyper_voxel_ids
dataset,meta/hyperVoxelSize,hyperVoxelSize,hyper_voxel_size
dataset,meta/hyperVoxelWidth,hyperVoxelWidth,hyper_voxel_width
dataset,meta/nHyperVoxels,nHyperVoxels,num_hyper_voxels
dataset,meta/positionFile,positionFile,position_file
dataset,meta/simulationOrigo,simulationOrigo,simulation_origo
dataset,meta/voxelSize,voxelSize,voxel_size
group,morphologies,morphologies,morphologies
group,morphologies/ChIN_0,ChIN_0,ChIN_0
dataset,morphologies/ChIN_0/location,location,location
group,morphologies/FS_2,FS_2,FS_2
dataset,morphologies/FS_2/location,location,location
group,morphologies/LTS_0,LTS_0,LTS_0
dataset,morphologies/LTS_0/location,location,location
group,morphologies/dSPN_0,dSPN_0,dSPN_0
dataset,morphologies/dSPN_0/location,location,location
group,morphologies/dSPN_1,dSPN_1,dSPN_1
dataset,morphologies/dSPN_1/location,location,location
group,morphologies/dSPN_2,dSPN_2,dSPN_2
dataset,morphologies/dSPN_2/location,location,location
group,morphologies/dSPN_3,dSPN_3,dSPN_3
dataset,morphologies/dSPN_3/location,location,location
group,morphologies/iSPN_0,iSPN_0,iSPN_0
dataset,morphologies/iSPN_0/location,location,location
group,morphologies/iSPN_1,iSPN_1,iSPN_1
dataset,morphologies/iSPN_1/location,location,location
group,morphologies/iSPN_2,iSPN_2,iSPN_2
dataset,morphologies/iSPN_2/location,location,location
group,morphologies/iSPN_3,iSPN_3,iSPN_3
dataset,morphologies/iSPN_3/location,location,location
group,network,network,network
dataset,network/gapJunctions,gapJunctions,gap_junctions
dataset,network/nGapJunctions,nGapJunctions,num_gap_junctions
dataset,network/nSynapses,nSynapses,num_synapses
group,network/neurons,neurons,neurons
dataset,network/neurons/axonDensity,axonDensity,axon_density
dataset,network/neurons/axonDensityBoundsXYZ,axonDensityBoundsXYZ,axon_density_bounds_xyz
dataset,network/neurons/axonDensityRadius,axonDensityRadius,axon_density_radius
dataset,network/neurons/axonDensityType,axonDensityType,axon_density_type
dataset,network/neurons/hoc,hoc,hoc
dataset,network/neurons/maxAxonRadius,maxAxonRadius,max_axon_radius
dataset,network/neurons/maxDendRadius,maxDendRadius,max_dend_radius
dataset,network/neurons/modulationID,modulationID,modulation_id
dataset,network/neurons/modulationKey,modulationKey,modulation_key
dataset,network/neurons/morphology,morphology,morphology
dataset,network/neurons/morphologyID,morphologyID,morphology_id
dataset,network/neurons/morphologyKey,morphologyKey,morphology_key
dataset,network/neurons/name,name,name
dataset,network/neurons/neuronID,neuronID,neuron_id
dataset,network/neurons/neuronPath,neuronPath,neuron_path
dataset,network/neurons/parameterID,parameterID,parameter_id
dataset,network/neurons/parameterKey,parameterKey,parameter_key
dataset,network/neurons/populationUnitID,populationUnitID,population_unit_id
dataset,network/neurons/position,position,position
dataset,network/neurons/rotation,rotation,rotation
dataset,network/neurons/virtualNeuron,virtualNeuron,virtual_neuron
dataset,network/neurons/volumeID,volumeID,volume_id
dataset,network/synapses,synapses,synapses
