-27	-37	12	0
-515	25	46	0
-57	142	-2	0
12	-89	20	0
90	64	-10	0
-169	145	-7	0
44	43	35	0
-313	-116	44	0
40	15	-6	0
-99	-54	7	0
-44	209	-11	0
76	85	1	0
-252	55	1	0
-214	-10	24	0
-92	138	-7	0
58	157	17	0
105	-233	11	0
-10	90	37	0
166	119	35	0
121	1	-16	0
-290	-39	11	0
-32	30	9	0
-28	-8	4	0
-209	-35	-3	0
36	-209	38	0
-121	-19	6	0
-24	46	8	0
40	22	2	0
-16	-136	-10	0
64	-67	-21	0
183	-118	-10	1
-45	80	23	1
211	14	34	1
182	-179	-26	1
201	29	-19	1
34	-135	9	1
-17	-80	38	1
88	99	22	1
119	141	-8	1
53	141	47	1
56	142	-6	1
