22	-11	11	1
-76	22	-23	1
-11	-4	-14	1
94	-29	-6	1
183	-118	-10	1
195	-30	-23	1
-36	-37	-67	1
-4	-11	-44	1
-74	-100	47	1
-51	89	-75	1
-41	64	-64	1
198	-124	0	1
42	42	1	1
22	78	-38	0
34	146	-28	0
8	-114	7	0
-184	-51	0	0
-111	-71	-26	0
-74	212	-16	0
50	-102	-33	0
71	87	-38	0
129	-26	-37	0
-86	67	-6	0
29	86	-13	0
129	-159	-10	0
-167	-86	-44	0
-152	-35	-30	0
-42	140	-54	0
-30	-130	2	0
3	93	-8	0
59	60	-37	0
68	138	-1	0
107	-94	-12	0
150	-66	-12	0
9	83	8	0
61	14	10	0
-222	-4	2	0
-144	57	24	0
-91	-11	32	0
-56	33	5	0
-119	-198	60	0
22	86	-44	0
-119	-82	10	0
-101	-38	-39	0
-61	63	-2	0
92	208	-37	0
131	-160	-26	0
170	-55	-33	0
185	-103	-49	0
