SPN,FSI
0.885,18.463
0.342,15.033
0.453,28.36
0.391,12.122
0.382,15.51
2.027,11.099
5.789,15.862
7.709,11.971
1.019,13.572
0.835,19.682
8.649,32.434
8.819,19.189
0.343,19.682
1.052,32.434
1.706,19.189
4.668,16.505
2.921,25.013
0.959,39.428
1.498,10.691
1.489,18.688
1.706,18.033
4.668,12.603
0.39,11.987
0.959,20.067
1.498,22.965
0.294,23.376
1.193,17.421
0.404,19.501
2.994,24.314
1.066,9.639
1.77,27.346
1.775,17.449
4.111,32.87
3.335,39.188
3.294,28.333
0.429,20.279
1.267,23.854
3.186,48.198
1.674,27.871
3.183,13.335
0.381,25.947
1.231,25.804
2.975,12.184
0.386,21.701
0.958,24.026
2.453,32.514
2.422,30.066
1.267,15.255
1.494,19.148
1.552,12.866
3.66,23.326
0.92,15.735
0.656,36.842
3.24,15.902
0.474,38.691
1.805,33.917
3.38,36.206
2.543,34.904
0.425,11.98
2.614,35.607
1.058,25.375
1.47,45.369
0.372,13.261
0.838,23.886
9.729,11.553
0.551,15.081
6.87,7.414
0.285,12.006
5.963,7.994
2.077,13.403
0.85,11.305
3.234,19.555
2.504,17.129
0.689,15.255
1.211,8.911
0.219,8.619
0.579,24.601
7.097,25.229
4.236,8.12
0.225,16.12
2.447,25.417
0.594,19.915
1.504,8.765
0.908,20.646
2.792,18.755
4.699,11.425
2.625,7.024
7.524,22.492
5.18,16.092
6.226,13.269
1.02,13.065
5.405,
1.645,
3.251,
0.8,
1.676,
0.2,
0.272,
0.579,
1.419,
0.726,
1.294,
0.404,
0.556,
0.271,
7.372,
1.191,
8.287,
1.21,
3.503,
6.453,
1.435,
1.917,
0.239,
0.218,
0.944,
0.544,
0.773,
0.936,
0.69,
0.76,
0.338,
2.732,
4.401,
0.412,
1.718,
1.427,
0.294,
2.087,
9.685,
0.258,
0.607,
2.381,
0.419,
0.318,
5.394,
0.871,
0.709,
1.371,
0.386,
0.269,
0.676,
0.565,
1.425,
1.567,
1.059,
2.464,
0.272,
0.45,
0.566,
0.615,
1.494,
2.038,
1.203,
0.505,
0.583,
0.667,
1.239,
1.723,
0.309,
1.006,
0.808,
0.528,
1.459,
3.456,
1.074,
4.843,
4.524,
9.54,
3.045,
2.789,
0.409,
1.601,
5.178,
1.028,
1.71,
3.555,
0.746,
0.523,
7.154,
4.303,
1.662,
1.447,
0.521,
3.793,
1.598,
0.402,
4.437,
1.207,
2.271,
0.487,
1.296,
0.536,
1.195,
2.326,
0.696,
1.659,
0.146,
3.568,
2.285,
1.287,
1.848,
1.135,
4.15,
1.278,
2.071,
7.536,
1.137,
3.818,
12.047,
1.796,
1.607,
3.671,
4.318,
1.745,
1.69,
2.215,
0.745,
5.715,
0.246,
0.226,
2.415,
4.091,
1.671,
0.71,
2.927,
1.63,
2.878,
1.057,
0.859,
1.185,
2.706,
1.657,
0.567,
7.553,
2.067,
1.598,
1.427,
4.235,
13.997,
11.456,
1.215,
4.717,
1.125,
2.47,
1.164,
5.634,
0.468,
0.362,
2.541,
0.602,
1.153,
3.921,
0.204,
0.923,
1.782,
0.416,
0.303,
2.279,
0.911,
0.855,
0.25,
1.937,
4.502,
2.42,
0.972,
2.953,
2.068,
0.439,
1.743,
8.295,
0.539,
0.458,
3.79,
0.329,
1.484,
0.255,
4.379,
0.807,
0.517,
0.544,
3.729,
1.423,
0.251,
0.854,
0.454,
8.619,
0.468,
0.518,
0.483,
1.13,
0.484,
0.502,
0.409,
0.718,
0.741,
0.332,
2.081,
3.303,
0.296,
3.93,
0.413,
3.896,
0.857,
1.55,
0.296,
1.416,
0.274,
0.496,
0.451,
5.482,
3.43,
0.204,
0.704,
1.808,
0.802,
0.278,
0.796,
0.336,
1.481,
2.605,
1.467,
2.577,
0.324,
4.99,
1.221,
4.095,
0.881,
1.208,
2.533,
1.605,
0.748,
1.41,
0.891,
0.264,
4.438,
3.089,
0.245,
0.733,
2.217,
1.312,
2,
8.766,
1.482,
0.52,
0.698,
2.151,
0.455,
1.84,
0.582,
2.859,
3.988,
5.156,
2.399,
2.141,
0.705,
0.282,
12.843,
7.11,
1.463,
6.25,
1.359,
